	date	movie_title	not_useful	score	text	title	useful
0	2019-04-06 13:12:00	Миньоны	0	7	Мультипликационная картина, выхода которой так долго все ждали после «Гадкий я 2». Только здесь в главной роли полюбившиеся миллионам зрителей похожие на банановые пилюли желтые товарищи в джинсе  миньоны. Собственно, в этом и есть весь смысл картины: любоваться на них, восхищаться ими и смеяться их находчивым или не очень предприятиям.  Если вы хотите здесь увидеть глубину, ну, или, на худой конец, поучительную историю, то даже не старайтесь их найти: этого нет в данной ленте напрочь. Ведь миньоны, существующие с давних времен, все время находятся в активном поиске «босса»  самого главного мирового злодея, чтобы ему «помогать» по мере своих сил. Существенным минусом этого мультфильма так же остается поверхностность многих шуточек, отпускаемых главными героями повествования.  Но не все так плохо. Очень удачно передана суть Англии в штампах: королева, чай, король Артур, «Битлз» и телефонные будки. Можно было на этом сделать больший акцент и в других странах, показанных мельком: России, Австралии. Тут, кстати, необходимо отметить проблемы авторов с географией, но, видимо, для детской аудитории они решили не заморачиваться. И увеличить количество обойденных в поисках «босса» стран Но поговорим о том, что есть.  С точки зрения сюжетной линии все логично: показана история миньонов от начала и до встречи с Грю. Что-то, правда, с датами не совсем стыкуется: больно старым оказывается он на самом деле. Нестыковка также присутствует в самом приборе, изобретенном Хербом, и в его действии: чем вызывается его окончание. Также нужно отметить уж больно современное для описываемых действий «обмундирование» Скарлетт Оверкилл, а вот в чем ей отказать нельзя, так это в чувстве собственного стиля.  Получилась такая «ненапряжная» и не затянутая, но типичная американская комедия. Не впечатляет? Да, согласна. Но изначально ждать чего-то возвышенного и тонкого не стоило изначально  О! Чуть не забыла! Меня еще очень порадовала подборка музыки в Англии конца 60-х: те же треки вы услышите при просмотре шикарнейшей «Рок-волны», несущая в себе национальный колорит. А также незабываемое соло Стивена на электрогитаре.   7 из 10  Рекомендуется: лицам после рабочей недели для небольшого расслабления, любителям английской культуры.  Опасно: для тех, кого раздражают миньоны; любителям арт-хаусов и только высокого искусства.		0
1	2019-04-06 13:08:00	Пустоши	0	6	История об амебоподобной Джульетте и джинсовом Ромео на фоне пустынных американских прерий. После смерти матери от туберкулеза отец Холли увозит дочурку в маленький городок, а сам устраивается оформителем рекламных плакатов. И вот однажды с ней знакомится Кит  практически копия Джеймса Дина, который сначала работает мусорщиком, а затем устраивается на скотобойню. Но даже смена профессии не возвышает его в глазах отца несовершеннолетней девушки. Естественно им запрещают видеться. И в какой-то момент Кит решается на крайние меры  уехать с любимой на поиски лучшей жизни, а выступающего против этого отца он убивает  Идущий в моем обзоре сразу после «Собачьего полдня» этот фильм продолжает тему доведенных до крайности героев обществом. Вот только время и обстановка в них совершенно разная. Разворачивающееся здесь действие имеет также под собой реальную основу, но только минувших 60-х годов, и разворачивается не в городе, а, наоборот, на бесплодных землях. В «Пустоши» Малик обосновывает поведение молодых людей, не столько современными им событиями, сколько перенесенным «наследием». Тут и американская мечта, и стремление к свободе. Самой главной причиной отвержения кинокартины является неприятие идей, которые несут в себе главные герои, если вообще можно сказать, что они преследуют что-то конкретное. Они, скорее, просто поставили во главу угла абстрактную цель, не имея представления о ее смысле и реализации.   Показательными с точки зрения режиссерской и операторской работы мне показались две сцены: горение дома и танец главных героев в свете фар автомобиля. Обе они смотрятся как-то театрально, особенно первая, когда крупным планом, например, показывают вспыхивающую кровать, по сути  декорацию происходящего. Вторая же напоминает освещение сцены представления софитами. С одной стороны, можно говорить об иллюзорности, театральности мира в восприятии главных героев, чего стоит одно подражание Китом Джеймсу Дину. Кстати, к концу фильма он отчасти все же становится «звездой». С другой, пожалуй, это единственное, что придает этой истории некоторую романтичность, потому что в целом последняя здесь, несмотря на наличие любовного сюжета, отсутствует напрочь.   Как режиссерский и сценаристский дебют Малика этот фильм очень показателен. Именно здесь появляются его отличительные черты: крупные планы отдельных предметов или пейзажный видеоряд. Картина является очень хорошим заделом для последующих работ. В чем точно нельзя обвинить автора, так это в необъективности повествования. он преподносит нам все в чистом виде, а не через призму своего мнения на проблему. Но эта отстраненность повествование и некоторое безразличие к своим героям заставляет и зрителя испытывать подобные чувства. К тому же эта нейтральность в описании лишает его моральной составляющей.    6 из 10  Рекомендуется: для желающих ознакомиться с классикой американского кинематографа, любителям пофилософствовать.  Опасно: молодым людям без четких ориентиров и ценностей; моралистам.		0
2	2019-04-06 10:12:00	True Crimes	0	0	После просмотра остаётся грубый осадок на душе.  Первым делом Керри. Он сыграл не плохо и даже как всегда в нестандартной форме, как это было в «Роковое число 23», поменяв роль веселого паренька на сурового детектива. Все бы нечего, но фильм тянет его как гиря, закреплённая к ноге узника, из-за чего вытянуть данный сюжет ему даётся тяжко.  Сама задумка не плохая и даже есть необычный твист в духе детективных фильмов, но раскрывается это через чур медленно, уныло и нудно. Тут нет экшона, нет драйва, от чего все идет монотонно и ты медленно засыпаешь от некоторых бессмысленных и пустых сцен.   Операторская работа вообще странное зрелище. Процентов восемьдесят всего фильма снято в горизонтальном положении камеры под прямым углом. Нету интересных пролетов через дома или динамические кадры. Камера словно приклеилась к штативу и все что могут авторы, так это только перетаскивать ее из угла в угол. Есть несколько моментов, где камера двигается влево или право, но она всегда будет снимать сцену только с определенного угла. Это немного давит на восприятие и начинают сохнуть глаза.   В голове после просмотра вертится только одно  Могло быть и лучше Добавив, к примеру, зацепок для зрителя, интересных диалогов, через которые можно строить свои догадки, создание детективного расследования в деталях, чтобы главный герой подстраивался под них, а не так чтобы они сами плыли к нему в руки.  Есть наиболее интересные и цепляющие фильмы подобной тематики, которые знают, что показывать и как преподнести в интригующем виде, а этот рекомендую посмотреть только из-за уважения к прекрасному актеру.	Могло быть лучше	0
3	2019-04-06 00:38:00	Тайна 7 сестер	0	6	«Тайна 7 сестёр»  новая антиутопия, где, чтобы обеспечить выживаемость человечеству, объединённому правительству приходится регулировать численность населения радикальными мерами. Введение у фильма вышло несколько скомканным, «счастливое» общество будущего и истоки грядущей катастрофы уместили всего в пару минут, по-быстрому обрисовав реалии, в которых разворачивается действие. Возможно, как раз из-за подобного невнимания к деталям, в показываемую антиутопию как-то не особо и веришь. Вряд ли в будущем европейское общество (да и человечество в целом) пойдёт подобным путём развития.  Фильм поначалу здорово интригует, заставляя настроится на ожидание чего-то таинственного и загадочного. Впрочем, через 20 минут вся полумистическая завязка скатывается к банальному боевику-побоищу с драками, погонями и перестрелками. Само название фильма «Тайна» изначально располагало к детективу с элементами мистики. На деле же, нам показывают какое-то слабое подобие «Эквилибриума», только без идейного стержня. Честно говоря, злодейские мотивы тамошнего Правительства я так и не осознал, а вот показанные методы неприятно поразили  в фильме явный перебор с неоправданной жестокостью.   Актёрская игра местами приятно удивляет, а местами вгоняет в тоску. Поначалу фильм смотрится весьма свежо и необычно, а основная задумка, будь она исполнена качественнее и «глубже», могла бы и вытащить картину, но, увы, не случилось. Драматические сцены в фильме, на мой взгляд, получились откровенно слабыми.  Итак, как антиутопия  «Тайна 7 сестёр» картина слишком поверхностная и неглубокая. Как детектив  и подавно А вот в качестве остросюжетного боевика  вполне сойдет. В течение всего просмотра меня, однако, не покидала мысль, что авторы хотели бы раскрыть перед нами фильм немного под иным углом, нежели тем, как у них получилось в итоге.  6 из 10	Вперёд к светлому будущему	0
4	2019-04-06 00:38:00	Ночь страха 2	1	6	Чем вы занимаетесь?  Я убиваю вампиров  (примерно 64-ая минута фильма)  Ночь страха 2  Вторая часть приключений Питера Винсента и Чарли Брюстера. Прошло несколько лет со времен событий оригинала. Чарли ходит к психологу и пытается забыть о вампирах. Только прошлое не хочет оставлять Чарли в покое. За ним начинает охотиться одна клыкастая особа со своей бандой кровососов  Давайте по пунктам. Лучше, чем «Ночь страха 2» 2013 года. Лучше, чем «Вампиры 2» и «Хэллоуин 3» от того же Томми Ли Уоллеса. Но, намного хуже, чем оригинал Тома Холланда. Явно подкачала разгильдяйская режиссура. У Томми Ли Уоллеса был вполне нормальный бюджет и двое главных актеров из оригинала.  Даже сценарий мне пришелся по вкусу. Это нормально, когда герой хочет избавиться от дурных воспоминаний. По поводу банальщины с очередными родственничками  закроем глаза скрепя зубами (хотя у сиквела целых три сценариста, чем занимались). Снимай аккуратно и хорошо. Фиг с маслом, ответил Томми Ли Уоллес.  Режиссер сходит с ума уже на первых минутах фильма. Большое кол-во стремных сцен. Не всегда вменяемое поведение героев. Не забывайте, они уже сражались с вампирами, это не новички какие-то. И трешатина. В оригинале весь треш выглядел уместно и иногда забавно. У Уоллеса же попахивает обычным бредом (вампиры катаются теперь на роликах, ох).  Из плюсов могу выделить шикарную музыку. Какая-никакая атмосфера, видимо пытался ее перенести из замечательной первой части. Классный грим, опять же. Несколько любопытных монстриков (особенно понравился Шао Кан в образе такого качка-Ренфилда). Многие киноманы отмечали, что главным злодеем является вампирша, т. е. девушка.  Ничего не имею против Джули Кармен, но могли бы пригласить кого-нибудь поярче, положа руку на сердце. Резюмируя, смотреть можно, если очень сильно хотите увидеть Питера Винсента и Чарли Брюстера. Только не забывайте, Томми Ли Уоллес тот еще кинематографист (кроме «Оно» и похвастаться особо нечем), явно ниже уровнем Тома Холланда.  6 из 10	Киноманские беседы с мальчишкой по имени Zombion!	0
5	2019-04-05 22:30:00	Мэри Поппинс возвращается	0	6	Мюзиклы  это здорово. Особенно мюзиклы старые. Фильм 1964-го года «Мэри Поппинс» для западного зрителя стал культовым, а песни в нём  гимнами. У студии Disney были сильные моменты и рекорды, но в массовой культуре, особенно в США и в Англии, ни один фильм не приблизился по критическому успеху к проекту о чудо-няне. Само собой, сейчас та кинокартина выглядит отнюдь не революционной, а старомодной, вызывает зачастую зевоту, да и отечественный зритель может пожать плечами: всё же мы больше привыкли к версии «Мэри Поппинс, до свидания». Увы, именно поэтому рецензия выходит серой: «Мэри Поппинс возвращается» временами выглядит скучной, её диалог с той старой киноверсией 1964-го непонятен, а воспоминания о том, как снимали кино раньше, откидываются. Даже удивительно, что после успеха «Книги джунглей» и «Красавицы и чудовища», других хитов Disney, студия, на мой взгляд, принялась за дело немного спустя рукава.  Итак, «Мэри Поппинс возвращается» начинается спустя 20 лет после событий первой части. Джейн и Майкл повзрослели. Молодой человек теперь работает в банке и является отцом-одиночкой, а его сестра делает карьеру на почве профсоюза. Кажется, сюжет вполне перспективный: можно оценить, строго говоря, какие плоды принесли уроки няни, неплохой актерский состав разбавляет действо, а тема преемственности (и, естественно, борьбы за что-то  в сценарии найдется место настоящему приключению со срывом планов злодея) вполне работает.   Очень жаль, что в целом всё происходящее кажется нерешительной попыткой повторить волшебство и вдохновение предшествующих киноработ (судя по всему, «Мэри Поппинс возвращается» и даже недавнего «Кристофера Робина» писали под копирку и / или совместно  уж очень фильмы концептуально схожи). Продолжение, колеблющееся между полноценной перезагрузкой и какой-то «старой песней о том же», лучше всего сформулировать следующим образом: похоже, что Disney взял остатки оригинала и приготовил из них какой-то полуфабрикат. Вроде всё есть, но мало что стимулирует воображение, и хотя сравнивать «Возвращение» с оригинальной кинолентой несправедливо, это всё равно неизбежно: отсылки, подмигивания зрителю и т. п. встречаются настолько часто, что из них буквально и состоит фильм.  В то время как сюжет продвигается вперёд, мир эмоций и песен Поппинс тормозит время. Это весьма контрпродуктивное решение для того, чтобы осмысленно продвигать сценарную структуру, поскольку попросту ослабляет силу истории. «Мэри Поппинс возвращается» реализован в какой-то квазиэпизодической структуры, в которой только большая тема несчастий семьи Бэнксов всё совмещает в себе воедино. Тем не менее, эти музыкальные номера удались, за исключением пары не особо оригинальных сцен.   Эмили Блант же оказалась наилучшей кандидатурой на роль няни. Её образ оказался весьма освежающим для заскорузлого персонажа: её жесткий подход контрастирует с Джули Эндрюс и другими исполнительницами этой роли. Блант одновременно женственна и по-английски чопорна.  При всем вышесказанном «Мэри Поппинс возвращается» можно назвать продолжением, которое хотя и верно следует оригиналу, выполнено как-то стерильно, пускай и с душой. Тем не менее, не покидает чувство, что этот сценарий пропустили через машину для переработки старых воспоминаний. Результат эффектен, однако новый фильм Disney должен быть чем-то большим, чем просто переоборудованной иконографией. Собственной жизни у «Мэри Поппинс возвращается» нет, так что всё происходящее выглядит позитивно, сентиментально и вкусно в этой несвоевременной фантазии для обывателей среднего возраста из США и Великобритании.  6 из 10		1
6	2019-04-05 22:23:00	Мы	0	5	Режиссер Джордан Пил известен прежде всего хоррором Прочь 2017 года, в котором он довольно успешно высказался на социально значимую в США тему. В своем следующем фильме Мы Пил хотел продолжить работу в том же направлении. «Мы  американцы»,  произносит один из персонажей фильма. Именно эту мысль автор делает главной, в чем, собственно, он сам и признается в своем интервью. Но смог ли он реализовать заложенные в фильм идеи?  Легенда о доппельгангере (существе, способном полностью или почти полностью копировать облик и поведение человека) довольно часто используется в литературе и кинематографе. Однако обычно авторы воспринимают легенду несколько более завуалировано. Из литературных произведений легче всего вспомнить Странную историю доктора Джекила и мистера Хайда Роберта Стивенсона, Вильяма Вильсона Эдгара Алана По, Странный случай Чарльза Декстера Варда Говарда Лавкрафта, из кинофильмов  Нечто Карпентера и просто любой фильм о зомби. Джордан Пил же решил пойти своим путем.  Одна маленькая девочка зачем-то пошла одна гулять по пляжу ночью. Девочке этого было недостаточно, потому она вошла в зеркальный лабиринт страха, где благополучно заблудилась. После чего малышка повстречала там своего двойника Спустя много лет в эти же самые места приезжает уже повзрослевшая девушка вместе со своими детьми. Она никому так и не рассказала, что произошло в том лабиринте. Не рассказала всей правды. Одной ночью к дому, где жила повзрослевшая девочка, подошли четыре человека, до странности напоминающие тех, кто уже жил в этом доме. Оказалось, пришедшие тоже хотят здесь жить.   Первая половина фильма берет лучшее от Забавных игр Михаэля Ханеке и Незнакомцев Брайана Бертино. Нас постепенно знакомят с героями, обычными людьми со своими слабостями, способностями и желаниями. Однако наступает ночь, в дом вламываются незнакомцы, но что страшнее всего  они выглядят абсолютными копиями живущих здесь людей, а потому зритель вместе с персонажами не знает, чего они хотят и чего можно ожидать от этих существ.   Вот только идет время, и фильм внезапно и кардинально меняет вектор повествования. Теперь это уже не «Забавные игры», это «Ночь живых мертвецов». Скажите, вот вы представляете, как могут в одной плоскости существовать эти два фильма. Автор рецензии видит это очень расплывчато, как, видимо, и режиссер. Лучшим решением, по мнению Джордана Пила, стала смена парадигмы всего сторителлинга: вместо неторопливого повествования с приближением неизбежного исхода  махание битой, вместо нескольких проработанных персонажей  добавление совершенно лишних героев, все равно не остающихся в памяти, вместо какого-то логического обоснования (или его отсутствия, в некоторых случаях лучше даже не пытаться что-то объяснить)  бессвязный рассказ о создании копий людей (Как? Кем?) для управления оригиналами (!!!). Право, зачем нужно был так все усложнять? К тому же, после такой хирургической операции получившийся монстр просто-напросто нежизнеспособен.  Странный фильм. Нет четкой структуры. Есть заимствование многих идей из других хорроров. Нет законченного финала. Есть хорошая идея. Нет ответов. Есть множество вопросов.  6,5 из 10	И это был ваш план?	0
7	2019-04-05 20:24:00	Кладбище домашних животных	6	0	Известно, что Стивен Кинг очень любит, когда экранизируют его произведения. «Рвивым» режиссерам он некогда передавал права на свои романы всего за $1, что позволяло фантазии кинематографистов разгуляться без необходимости отвлекаться на поиск денежек для расплаты с автором. Мнения относительно получившихся кинолент у меня с маэстро, как правило, не совпадали. Поэтому, когда я прочла, что Кинг пришел в восторг от новой экранизации своего «Кладбища домашних животных», это меня насторожило. Увы, ощущения не подвели.  Я отлично помню то время, когда на VHS, в переводе глубокоуважаемого Алексея Михалева впервые увидела экранизацию этого романа, созданную Мэри Лэмберт. Ну, вы помните эти кассеты, да? Это же были коты в мешке: ничего кроме названия, в крайнем случае, жанр, да и то часто с ошибками. И вот вы усаживаетесь и чего вас ждет  непонятно. В тот раз меня ждал взрыв мозга: картина была атмосферной, щемящей, пугающей. Все в ней казалось достоверным и возможным. Фильм засел в памяти на многие годы. И вот теперь, спустя столько лет, когда Голливуд стабильно демонстрирует кризис идей и вытаскивает из загашников старые интересные фильмы, переснимает их с постоянно ухудшающимся качеством, выходит в свет новое «Кладбище домашних животных».   Ну, казалось бы, столько возможностей сейчас, можно привнести в фильм много свежего, неожиданного, необычного. Почему же все это было проигнорировано? Зачем было снимать простой, предсказуемый, нестрашный фильм, который я не возьмусь даже хоррором назвать? Большинство из тех, кто смотрел или будет смотреть эту ленту, отлично знают содержание романа. Многие смотрели и оригинальную версию 1989 года. Чем? Как можно удивить зрителя, как создать нужную атмосферу, вызывать саспенс? Возможно, эти вопросы стояли перед создателями картины, но найти ответ на них не удалось.   Взяв начало у Кинга, режиссеры постепенно скатились к какой-то ерунде, которая к финалу превратилась в зомби-триллер. А ведь в основе произведения душераздирающая история семьи, в кошмарных условиях потерявшей ребенка. Пережить такое сложно, забыть невозможно. У героев появился шанс вернуть погибшее дитя. Но с мертвыми не шутят. И если вернуть их, вам же не поздоровится. Знал об этом безутешный отец, но не совладал с собой.   Эмоции, которые продемонстрировали Джейсон Кларк и Эми Саймец, меня не тронули. Актерам не удалось передать всю ту кошмарную боль, которую испытали их персонажи. А без этого история теряет смысл, становится неубедительной, какой-то бездушной, нацеленной только на испуг зрителя. Но произведения Кинга традиционно отличаются глубоким психологизмом. Он есть в романе, он есть и в фильме Лэмберт, а в этой картине его нет. Действие очень долго раскачивалось, многие зрители в зале начали усиленно жевать и ерзать в креслах в ожидании тех самых моментов, которые так ярко продемонстрировал довольно интригующий трейлер. Однако все интересное трейлер и вобрал (Это, кстати, в последнее время сплошь и рядом. Те, кто видел, скажем, «Бархатную бензопилу», поймут, о чем я). Нам осталось что-то предсказуемое, разбавляемое бу-эффектами (а этим удивишь сейчас, пожалуй, только детей). Так, очень много внимания было уделено сестре главной героини. И если в оригинальном фильме она вызывала ощущение какого-то липкого страха, то тут нам дали ее рассмотреть и оказалось, что она не такая уж Прощай, ностальгия!  Нельзя сказать, что в фильме нет достоинств. Мне понравилась локация (хотя она стандартна для таких лент), довольно атмосферное кладбище, эпизод с детьми в масках, порадовала игра юной Жете Лоранс (хотя как родители позволили ей сыграть это, ума не приложу). В остальном картина оставила какие-то смешанные чувства с большой долей сожаления. Если было возможно, я бы предпочла не видеть эту картину, а наслаждаться воспоминаниями о ее предшественнице, которую я, кстати говоря, пересматривать не хочу. Берегу впечатления, чтобы не расплескать.		11
8	2019-04-05 16:33:00	Кукловод	0	0	«Кукловод»  очередной хоррор в классическом исполнении, повествующий о тяжелой ночи одной семьи, которой не посчастливилось привлечь к себе внимание маньяка в маске. Всем любителям неподвижно стоять в темноте  добро пожаловать в лес.  Итак, завязка наибанальнейшая. Есть семья, состоящая из соответственно жены, мужа и двух дочек. Собираются наши герои в загородный дом, стоящий, как водится, в такой глухомани, что никакой нормальный человек туда не поедет, однако их это не смущает. Первыми на место приезжают мать с дочкой, и в общем-то именно они и являются главными действующими лицами.  Что в картине есть хорошего? Во-первых, сам маньяк. Не то чтобы он великолепен, и значимую конкуренцию своим коллегам по жанру он явно не составит, но злодей здесь достаточно колоритен, он привлекает внимание и в определенной степени внушает. Во-вторых, несколько оригинальных идей. Пугающие полноростовые куклы, выточенные из дерева, разрисованная книжка, чаепитие в лесу  своеобразная аллюзия на «Алису в Стране чудес»  маньяк здесь старается не только расправиться с жертвами, но еще и потрепать им нервы, и ему это вполне удается. Плюсом прибавьте неплохую атмосферу, периодически проявляющийся саспенс и по большей чатси достойную актерскую игру.  Что плохого? Несмотря ни на что, фильм все же слишком блеклый. Он довольно быстро забывается, и во многом картина очень вторична. Персонажи порой ведут себя невероятно глупо, любителям слэшеров здесь ловить вообще нечего (литров крови и десятков трупов даже не ждите), а динамика картины иногда провисает, а для жанра ужасов вообще непозволительно, чтобы зритель скучал.  Подбираемся к финалу  «Кукловод» это очередной хоррор про маньяка с неплохим, но нераскрытым потенциалом. Посмотреть в принципе можно, на один раз кино вполне сойдет, но многого от картины не ждите.	Очередная хижина в очередном лесу	0
9	2019-04-05 16:32:00	Кладбище домашних животных	9	6	«Кладбище домашних животных» представляет собой живой пример того как не стоит экранизировать произведения Стивена Кинга. В целом, после успеха «Оно», данная ситуация приводит в крайнее недоумение. Стоит отметить, что все предыдущие экранизации книг писателя складывались в некоторую «формулу успеха» и прочно закрепились в индустрии кино в качестве образцово-показательных.  Пока «Кладбище домашних животных» все увеличивает свои финансовые показатели и число сеансов в кинотеатрах по всему миру, где-то грустит один Гильермо дель Торо, которому так и не посчастливилось превратить эту жуткую историю в триллер, достойный звания «мастера ужасов».  История рассказывает нам о Кридах, которые переезжают в новый загородный дом, чтобы проводить больше времени с семьей и жить в гармонии друг с другом. Но их подобие «американской мечты» терпит поражение в тот момент, когда обыватели обнаруживают за домом пугающее кладбище домашних животных, где глава семейства решает похоронить любимого питомца по имени Чёрч.  Фильм выглядит несколько затянутым и монотонным, невзирая на тот факт, что его продолжительность составляет чуть более полутора часов. Кино можно четко разделить на 2 части, своего рода варианта «до-после». Итак, часть «до»: первая часть (порядка 50 минут) окутывает какой-никакой мистикой и оставляет ряд вопросов, требующих объяснений. Часть «после»  это своего рода то, что испортило весь фильм. У меня сложилось впечатление, что режиссерское кресло на протяжении всей истории сменялось хаотично, словно действия не согласовывались между собой и все предыдущие идеи утрачивали всякий смысл. Я ожидала, что события сдвинутся на финал и концовка раскроет все карты (либо хотя бы приоткроет), но, к сожалению, финал фильма  это те полчаса, которые нанесли решающий удар или попросту разрушили все, что только можно было разрушить.  В общем плане, «Кладбище домашних животных»  картина весьма бюджетная на первый взгляд, хотя, собственно, и на второй тоже. Действие разворачивается преимущественно в загородном доме, а также за его пределами, которые находятся во владениях семьи Крид.  Актерский состав  череда бед и огорчений.   Джейсон Кларк  актер, который не способен в данном случае заинтересовать уже изощренную к жанру «ужасы» публику. Для меня Кларк хорошо известен как Джон Коннор в продолжении фильмов о «Терминаторе» и закрепился в сознании именно в подобном амплуа. Однако, характеризуя его героя в «Кладбище домашних животных»  Луиса, становится очевидно, что для человека, утратившего самообладание и возможность мыслить рассудительно, Кларк вряд ли является тем актером, который вписывается в заданные рамки.   Подобные мысли возникли также и на счет персонажа Рейчел (Эми Саймец), игра которой в дуэте с Кларком уничтожили напрочь мое впечатление о фильме, сложившееся после просмотра трейлера.  Ставка на детскую непосредственность хороша лишь в том случае, если она подкрепляется качественной игрой. Думаю, было бы замечательно, если бы нам предоставили возможность лицезреть не просто кровавое месиво, а еще и нечто, что соответствовало бы жанру «триллер». Совершенно никакой психологической подоплеки я не увидела в игре героини Элли (Жете Лоранс).  Музыкальное сопровождение можно ёмко охарактеризовать одной композицией, которая прозвучала уже после титров. Сказать, что концовка и трек  это вещи, которые абсолютно не сочетаются между собой, считай, ничего не сказать.  «Кладбище домашних животных»  история совершенно несуразная и несвязанная, не ужасающая, а скорее противная, о мистицизме которой свидетельствует исключительно туман, возникающий в наиболее подходящие моменты, а также маски таксидермистов-любителей, которыми пестрит что только можно, начиная от флаеров, заканчивая трейлером, но только не сам фильм. Вопрос о том, стоит ли отдавать предпочтение такому слабо выразительному творению  остается за вами.  От меня:  6 из 10	Скитания по лесу	8
