	cat	date	movie_title	not_useful	score	text	title	useful
0	bad	2016-12-30 04:59:00	Викинг	351	5	Российское кино... Удивительный феномен. Имея богатейшую актёрскую школу и историю, оно умудряется вываливать на экран зачастую бездарных актёров, которым повезло родиться в нужной семье; имея поддержку государства и достаточный бюджет, киноделы запарывают все возможности по проверенной схеме; имея, казалось бы, впечатляющую концепцию, они способны превратить её в отходы. Складывается впечатление, что в застенках Фонда Кино идёт какая-то нелепая гонка, кто снимет самый бездарный фильм в мире. Но по большому счёту причина такой катастрофы давно всем известна - им просто плевать. Люди зарабатывают деньги. Не удивительно, что на фоне пепелища российского кино очень непросто увидеть проекты, более-менее стоящие внимания зрителя. А такие проекты, конечно, есть, вот только на большом экране вы увидите, скорее всего, десятую часть 'Ёлок', 'Того ещё Карлосона' и многие другие великие фильмы о великой войне адекватности с диагнозом. И тут появился 'Викинг' - проект, который зритель действительно ждал и ждал неспроста. Антураж Древней Руси, прямое обращение к корням и истории, популярные и, будем честны, не самые худшие актёры в индустрии, судя по трейлерам, неплохая картинка, много лет работы. Всё это создавало вокруг фильма ореол многозначительности, будто вот-вот произойдёт серьёзное событие в мире российского кино. Произошло ли оно?  История создания 'Викинга' во многом напоминает 'Вия', вышедшего несколько лет назад. Те же годы 'упорного' труда, серьёзный по меркам отечественного кино бюджет и вполне логичные вопросы зрителей - если фильм снимали столько лет, то наверняка у создателей было время, чтобы написать вменяемый сценарий? А вот и нет, и сценарий - самая слабая сторона фильма. Уже с самого начала создаётся впечатление, что сценаристы основывались на соитии мультфильма 'Князь Владимир' и параграфа в учебнике истории за 5 класс. Никакой новой информации, которую бы мы не знали с детства, никакого нового взгляда 'Викинг' не предлагает, да и вообще историчность всего происходящего на экране под огромным сомнением. Сценарная канва 'Викинга' похожа на сборник стереотипов о Руси с примесью диснеевских приёмов по типу: протагонист не может быть плохим человеком, поэтому давайте оправдаем рандомный мерзкий поступок самой неубедительной мотивацией в мире. То, как сценарий отчаянно защищает протагониста в лице Козловского, заставляет грустно улыбнуться. Князь Владимир получился обиженным на весь мир парнем, который не знает и сам, чего ждёт от жизни, а поэтому придумывает отмазки для любого злодеяния, чтобы выглядеть всё тем же славным парнем. Увы, это так не работает. На сильного духом и даже жестокого человека (как требует эпоха), наделённого властью, он, увы, походит мало. Персонаж невнятно прописан в сценарии и даже хорошая игра Данилы Козловского, который теперь мельтешит в каждом российском фильме як Безруков в своё время, положение не спасает. Кстати, Безруков, от чьего голоса берёзовый сок разливается по стенам, претендовал на роль Владимира и озвучивал его в выше упомянутом мультфильме. Совпадение? Не думаю.  Если Данила Козловский действительно приложил усилия для создания персонажа, то остальные актёры, кажется, не особо и пытались. Светлана Ходченкова, которая мельтешит в каждом российском фильме як... ну вы поняли, выглядит крайне неубедительно и так же монотонно как и Александра Бортич, хотя опыта у неё куда больше. Диалоги с участием актрис неприятно слушать, интонации зачастую наигранные и ненастоящие, которые ещё простительны студентам первого курса актёрского факультета, но не актрисам большого кино, пусть и российского. В следствии этого проблемами их героинь не проникаешься, они превращаются в бледный фон для Козловского и эффектов.  Эффекты. Будем честны, ради этого всё и затевалось. Создатели выбрали неудачную голливудскую модель, где не эффекты крутятся вокруг сценария, а сценарий вокруг эффектов. И здесь я с чистой совестью могу сказать, что визуально фильм не так уж и плох, вот только из себя он представляет некий коктейль из голливудских картин - здесь вам и культовый 'Гладиатор' Ридли Скотта, и сериал 'Викинги', и немного 'Игры престолов', с миру по нитке, как говорится, поэтому 'Викинг' напоминает всё и сразу, только намного скучнее. В интернете разгорелся спор на счёт названия фильма, но после просмотра можно сделать вывод, что никакой острой необходимости называть фильм 'Викингом', а не более привычным для зрительского слуха словом 'Варяг', не было, зато маркетинговых причин оказалось куда больше. Голливудские приёмы для эпических блокбастеров неплохо ложатся на славянскую мифологию, но во многих сценах выглядят или чересчур пафосно, или инородно. Нет в 'Викинге' русской души, той самой славянской и знакомой с детства атмосферы. Под словосочетанием 'русская  душа' я понимаю не водку, не подумайте.  Меня всегда удивляет, как создатели подобных проектов умудряются выставлять такие чудовищные бюджеты для своих картин. Для сравнения, фильм Кристофера Нолана 'Интерстеллар' стоил 160 миллионов долларов, и съёмочные локации выстраивались вручную, без применения компьютерной графики там, где без неё можно обойтись. Тем не менее, фильм выглядит крайне дорого и стильно. 'Викинг', как нам говорят, стоил больше миллиарда (самое время передать привет мультфильму 'Савва. Сердце воина'), но визуально фильм не стоит и одной десятой от заявленной суммы. Ох уж эти метаморфозы российского бюджета.  Что же сказать в итоге... 'Викинг' Андрея Кравчука стоит вашего внимания, но это фильм на один раз. Он адекватно снят, визуально картина добротная и вызывает море ассоциаций со знакомыми американскими представителями жанра. Сценарий откровенно слабый, зато вездесущей темы религии тут хоть отбавляй. Ведь религия делает любой фильм лучше! (Сарказм) Актёрская игра начинается и заканчивается на уровне Козловского, и он даже не раздражает. Сценарий не проработан и выглядит ужасно сырым, да и ничего нового вы из него не узнаете. 'Викинга' постигла судьба 'Вия', очень жаль. Но стоит отдать должное, за 'Викинга' не стыдно.   Многие сетуют на то, что российский зритель по инерции ругает фильм до того, как тот вышел на экран лишь за то, что он снят в этой стране. Кто-то даже обвиняет в этом того самого блогера, который, дескать, внедряет зрителям-русофобам в головы идею ненависти. Зачем снимать хорошее кино, правда? Куда проще обвинить в катастрофе кого угодно, кроме себя и замаскировать под спецэффектами титанические дыры в сценарии и распиленный бюджет.  5 из 10	Много шума из ничего.	693
1	bad	2017-01-06 15:58:00	Викинг	56	0	X век, Киевская Русь, в Киеве правит князь Ярополк, в Древлянской земле князь Олег, в Новгороде князь Владимир, все сыновья бесстрашного война, победителя Хазарского каганата, мечтавшего перенести столицу своей державы в город Доростол, что на Дунае, князя Святослава Игоревича. Первый письменный договор с Византийской империей был заключен еще опекуном князя Игоря Вещим Олегом, потом были договора князя Игоря и Святослава. Иными словами Киевская Русь как государство признавалось могущественной империей ромеев, и вообще являлось раннефеодальным государством типичным для Средневековья, как  большинство стран Западной Европы того времени, с пережитками племенной организации и язычеством как господствующей религией населения. Князь Владимир Святославович нанес последние штрихи для интеграции в европейский мир государства структурировав систему управления и приняв христианство. Величие его заключалось в том, что после себя он оставил сильную страну, правители которой признавались полноправными членами межгосударственных отношений того времени, о чем имеются письменные свидетельства.  К чему я написал это? Да к тому, что мы с создателями «Викинга» читали разную историю Киевской Руси, допускаю, что они прочли комикс на эту тему или краткое изложение для иностранных школьников. Потому что увиденное на экране меня удивило и вызвало возмущение, так как в очередной раз разговоры о правдивости истории, большом времени на подготовку к съемкам, достоверности оказались только словами. Начиная с рассказчика некого Свенельда, кстати реального персонажа, который жил в Новгороде, но не был близким человеком князю, это место главного советника и наставника принадлежало воеводе Добрыни. Почему Полоцк и Киев выглядят как городищи древних славян, между тем это были населенные города, жители которых не жили в лачугах, а терема не напоминали жилища норманнов. И почему дружины князей напоминают банды норманнских разбойников, процент наемников был большой конечно, но основу составляли к тому времени свои воины, содержать большую наемную дружину было дорого, и не было необходимости, если не вели войну. Недаром же Владимир после захвата Киева отпустил своих наемников в Константинополь на службу императору. И почему печенеги выглядят как монголо-татары при походе на Русь, а ладьи зачем на гору затаскивали, и зачем вполне реального персонажа Варяжко, который похоронил князя Ярополка, сделали злым гением государства, вообщем историческая достоверность событий отсутствует как класс. Про эпизод крещения Руси даже говорить не хочется, вопросов было больше, чем ответов – ибо величие момента оказалось под шелухой лжи и кривды.  Перейдем к персонажам. Князь Владимир Святославович (Данила Козловский), был человеком суровым, хитрым, способный на подлость, но в то же время крепко стоявший на позиции государственного мужа. В кино я не увидел государственности в его облике, а увидел рефлексирующего человека из нашего времени, который сам не знает что хочет, а получив не знает что с этим делать. Даже известное сластолюбие Владимира показано как то поверхностно, не говоря про то, что я не увидел правителя государства, то хочу Анну сестру царя ромеев, а возвращается без нее, логика отсутствует тоже как класс. Ирина (Светлана Ходченкова) монахиня бывшая наложницей Ярополка, имя которой доподлинно не известно, стала чуть ли не центральным персонажем и побудительным мотивом действий князя Владимира. Варяжко (Игорь Петренко) играл не слугу князя, а лишенного княжеского престола персонажа из более поздней эпохи, ибо в контексте времени его действия были бессмысленны. Князь Ярополк, равно как и Олег Древлянский показаны совсем странными персонажами, поступки которых остались за гранью понимания.   Несколько слов о костюмах, оружии, битвах и декорациях. Если дружина князя Владимира состояла сплошь из татуированных варягов, без конницы (куда делась непонятно), одетая как разбойники с большой дороги (достоверность мечей, копий и щитов хороша для набегов, а не полевых сражений, консультанты учите матчасть), то византийская армия была одета и вооружена как императорская армия Римской империи эпохи принципата до середины 3 века н. э. (не хочу даже иронизировать, что книги по составу и экипировки византийцев есть в свободном доступе в сети интернет). Про непонятную одежду печенегов уже говорил, наверное все монголо – татары, в представлении консультантов. Картину общей убогости происходящего довершают батальные сцены в которых задействовано не больше сотни человек со всех сторон и рисованная на компьютере Корсунь (обстоятельства похода вообще не выдерживают критики, авторы фильма коверкают историю), про декорации Полоцка и Киева уже писал выше.  На поверку самый ожидаемый фильм оказался пафосным и никчемным, из него нельзя почерпнуть ни знаний, ни насладится игрой актеров, ни испытать драматизм происходящего на экране. Неприятно, но очередной разрекламированный и ожидаемый фильм, с много миллионным бюджетом из карманов налогоплательщиков обернулся разочарованием.	Пафос	321
2	bad	2016-12-31 14:31:00	Викинг	314	3	Признаюсь, после второго трейлера к 'Викингу' в голову закрался маленький вирус сомнения по поводу исторической ценности, адекватности, да и в целом, к качеству фильма. Но угробить 7 лет и миллиард, с гаком, 'деревянных' на откровенный заказ, агрессивную, как ярость берсерка, религиозную пропаганду, кроме радикального негатива, не может вызывать других чувств. И о художественной ценности 'Викинга' в контексте его основной задачи, как проявления искусства - не может быть и речи. В то же время, кино всегда являлось инструментом в пропагандистской войне, вне всякого сомнения. Но проблема 'Викинга' не в намерении, а в подаче.     А подача такова, что исторической ценности, славяне, вплоть до 988г., оказывается, не представляли. Шарахались, значит, наши безграмотные предки по лесам и болотам, жили в грязи, ели мухоморы, и использовали вместо подушки коровьи фекалии, без разбора, с дикими воплями втыкали друг другу в голову топоры из-за куска добычи на охоте, не обращая никакого внимания на социальный статус оппонента, родство или дружбу. Одним словом - быдло. Так и по сей день подтирались бы мы с тобой, мой дорогой читатель, рогами буйвола, если бы не вывели нас из каменного века цивилизованные европейские сверхлюди! Ведь даже в кино, каждый раз когда появляются римляне, экран озаряется солнечным светом и чистотой, в то время как все первобытные разборки славян - дождем, грязью и кровищей.     Ну да ладно, в конце концов, режиссер Андрей Кравчук, а не я. Судить человека за его идею, как то негоже. Но 'Викинг' страдает не только своей сомнительной идеологической составляющей. Отдельный привет, хочется передать протагонисту, и всему тому балагану что вокруг него вьется. Оказывается, по мнению господина Кравчука и команды сценаристов, князь Владимир, никакой не стратег, дипломат, великий политик или, как минимум, прирожденный лидер. Он самодур, слюнтяй, трус и убийца. Путь становления Великим Князем - откровенное везение и еще большая тупоголовость окружающих сасквачей. Ах, да, о каком здравом смысле я пытаюсь сказать, когда у нас на экране первобытная община, где прав тот, кто с обезьяньим улюлюканьем, сильнее и быстрее проломит череп несогласному. Видимо, именно по этой причине, все поведенческие и мотивационные моменты в фильме, не то что лишены логики, они практически отсутствуют, сведенные к минимуму гениальной схемой: 'говоришь, я не прав? - получай копьем в лицо!'     Отдельно удивило, практически полное отсутствие атмосферности, за фрагментарным исключением, в фильме исторической направленности. Несмотря на дорогую, и справедливости ради, надо сказать, прекрасную визуальную составляющую 'Викинга', никакого ощущения древности нет и в помине. В батальных сценах - никакого напряжения, так - утренняя зарядка полупьяных немытых мужиков. Рваное повествование, то и дело перескакивающее со сцены на сцену, не заканчивая и не начиная ни одну из них. Герои тысячелетней давности бренчат на современном молодежном жаргоне, аки хипстеры в барбершопе. Вот так и проходят два часа просмотра этого шедевра, в виде медленно перетекающих эмоций, от скуки до негодования и обратно.  По итогу, 'Викинг' это новый уровень всемогущего 'РосПила' в отечественном кинематографе, осваивающий уже миллиардные бюджеты. До дрожи удивляет ситуация, при которой, местные киноделы несколько лет кропотливо работают над костюмами, реквизитом и декорациями, и при этом начисто лишают фильм какой либо сюжетной и эмоциональной составляющей. Все плохо. Зовите Шальопу, народ скинется. На бюджетное кино надежды нет, а тех в ком еще оная теплится, скоро размажет по Чертаново космическим кораблем.   3 из 10	Из грязи в князи.	619
3	bad	2017-01-07 18:37:00	Викинг	65	1	Хочу предупредить об опасности, которую несёт в себе этот фильм и для взрослых и, особенно, для детей.  Данный фильм именно идеологический, историческим его назвать нельзя. Сознательное искажение исторической правды. Почему сознательное? Да потому что при желании опереться на летописи это сделать можно было. Но видимо были определённые задачи у этого идеологического продукта.  При просмотре фильма складывается впечатление что славяне не мылись и чистых одежд не носили. Лица в грязи, одежда рваная, ни одного добротного домашнего хозяйства показано не было, даже княжеские хоромы темны и не убраны. Весь быт славян показан в серых красках. В ходе фильма чистыми славяне появляются, только когда их массово крестят в реке. А до того, видимо, кожа очищалась естественным путём - грязь отваливалась засохшей. Чистая одежда в фильме появляется лишь дважды: у христиан в Корсуни и у славян при крещении в Киеве. Это яркие акценты влияющие на сознание, подчёркивающие преимущества христианства.  Герои фильма говорят на ультрасовременном языке, невысокого культурного уровня. Общение на уровне князя и его окружения происходит в стиле: 'Ты чё? Да ни чё!'  В фильме жена Ярополка одета не по-славянски. На голове наброшен на ближневосточный манер прозрачный палантин. Её одежда отличается красотой и богатством в отличие от показанных других славянских женщин в кадре. И она же является одной из первых христианок. Такой приём подсознательно формирует посыл что христиане лучше, чем другие. Есть в этом фильме и прямое на то указание, не только подсознательные вкрапления.  Сюжет фильма привёл в Корсунь и, о, чудо, наконец-то появился цвет! Каменный город красив, корабли прекрасны и точно гораздо крупнее славянских. Одежда горожан цветная!!! Их лица красивы, опрятны, аккуратно бриты бороды. Храмы богаты и искусно украшены. В городе есть водопровод! Где уж там, в сравнении, жалкие славянские лачуги. 'Живут же люди' - так и захочет сказать наивный зритель.  Обряд крещения показан как не обдуманное волевое решения, а как почти случайное действие. Разве так может действовать князь? Обряд показан, по сути, как психотерапевтический сеанс. Человек избавляется от всего что его тяготит, проговаривая эпизоды жизни с негативными эмоциями. А задача священника снять эту боль, заменив её на новое мировоззрение. Ну что ж, получается религия подменяет собой психотерапию, только подаётся это как действия от имени бога. Владимир облегчённо вздыхает и говорит что больше не будет убивать. Хотя по истории все междоусобные войны начались именно после его крещения. Опять же расчёт на наивность зрителя. Или на молодого зрителя, чьи умы ещё не созрели и не успели прочесть многих книг.  Невыносимо господа!  Как название фильма связано с содержанием фильма? Почему 'Викинг'? Кто там викинг?  1 из 10	Не было викинга!	301
4	bad	2016-12-30 04:36:00	Викинг	353	0	Такого названия фильм не заслуживает чисто экзистенциально (как произведение искусства он не способен ни держать меч, ни отражать атаки в виде самой поверхностной критики, ни разить зрительские сердца). Мало того, он не заслуживает его даже логически. Называть этот комок плёнки «Викингом», - все равно что назвать «Челюсти» Спилберга «Катером» или 'Ластами'. Викинги здесь – лишь малый процент происходящего в фильме, средство достижения цели для юного князя. Сам он на викинга никак не тянет, да и, спасибо Одину, вовсе не претендует на подобные сравнения.   Что же не так с 'Викингом'? Вдарю только по ключевым моментам, хотя общий ответ без частного, разумеется, выглядит так: «Да все блин, все блин не так…». Кроме костюмов, музыки и актерской игры Козловского ровно в одной сцене (справедливости ради стоит сказать, что в самой сложной).  Технически фильм снят из рук вон плохо. Ужасный русский монтаж бывает двух типов: миллион суетливых нарезок и планов сваленных в одну огромную неказистую мусорную кучу (классический пример – «Ночной Дозор») и хронологическая шизофрения в демонстрируемых событиях (привет «Викингу»). Во втором случае зрителям показывают сцены обрывисто, с пробелами во времени, в результате чего создается впечатление будто герои фильма невольно телепортируются в пространстве по прихоти режиссера. Вот небольшой отряд пеших воинов погнался за всадниками-печенегами, а вот он уже окружен ими в километре от их дислокации в предыдущем кадре! Вот упомянутых воинов методично расстреливают конные лучники, взяв их в нерушимое кольцо. А вот пешие воины уже не просто вне этого кольца, а у ворот родного города! Это что за Quantum Break такой?! Это все равно что в «Гладиаторе» показать как Максимус выходит на арену с Комодом, затем сразу падающего Комода еще до начала их дуэли, затем сразу титры, а затем вообще кадр с разглядыванием дыры из «Шоушенка». Так не делается, господа постановщики. Не делается по бесконечному ряду причин. Но, в первую очередь, из уважения к здравому смыслу. Таких моментов в киноленте прорва. Создатели обращаются со временем как двухлетний ребенок обращается с небольшой податливой книжкой: хихикая, отрывают страницы, швыряют в стену, слюнявят, пытаясь попробовать на вкус особо яркие иллюстрации. Да вообще делают все угодно, за исключением единственного что с ней следует делать. В случае с книгой – читать, в случае со временем – следовать его ходу или хотя бы уважать его основные принципы (потом уже можно подниматься на новые высоты, как это делают именитые режиссеры вроде Нолана или не слишком именитые вроде Гаспара Ноэ). Вот битва началась, вот она уже закончилась (без кульминации, деталей и акцентов). Тупо возня и дикий ор. Промежутков и плавных переходов в действиях не существует. Вот первая страница, вот 567, а все что между – для слабаков! Суть-то показали, чего вам еще надо? Хочется тихонечко так сказать создателям, полушепотом: «Цельности… цельности хотелось бы немножечко…». Но потом ведь придется долго объяснять, что это такое и с чем его едят, а это на вечность растянется.   Диалоги, ясное дело, либо просто коряво-уродливые аки полусожжённая форма эсэсовца, либо вообще непроработанные в историческом плане до такой степени, что складывается ощущение будто слушаешь перепалку гопников в темном закоулке. Современные жаргонизмы через слово режут слух и вызывают оторопь. А ведь еще хватило наглости заявлять будто специально привлекали экспертов для чистоты и правдоподобности речи! Дворника дядю Мишаню они пригласили, вот его почерк виден сразу! За полчасика он им диалоги накатал от всей широкой русской души, за бутылку «Беленькой».   Но все бы ничего, побаловали бы хоть содержательностью сюжета. Но не тут-то было. Туром покати… Сюжет хоть и не выдуман, а позаимствован из всем известной «Повести временных лет», но изображен максимально превратно. Клянусь бородой Тора, это какое-то высшее искусство разрушения и искажения. Для такого новые жанр придумывать давно пора. И быть ему сразу под «трэшем».  Главная проблема фильма – образ главного героя. Легендарного князя, крестителя всея Руси будто нарочно наградили всеми самыми нелицеприятными чертами характера. Он и психологически не стабилен, и сумасброден, и малодушен, и импульсивен при том что начисто лишен храбрости, да и умом, к тому же, не блещет. Он – никакая не движущая сила этой истории, он даже не личность. Всем своим успехам он обязан, в первую очередь, фортуне и обстоятельствам. Во вторую, - собственному коварству и вероломству. Он слабак, ублюдок, трус и слюнтяй. Смотреть на него самого, как и на его поступки, - противно. Зачем злонамеренно превращать главного героя исторической ленты (а исторические ленты славятся фигурированием в них таких качеств как «благородство», «честь», «доблесть» и тд.) в заморыша и гнуса – решительно непонятно. Впрочем, в данной ленте благочестия в принципе не встречается. Все моральные уроды, только чуточку в разной степени. Историческая правда, что поделаешь! Точнее профанация русской истории… Герой Владимира проработан и расписан настолько неразумно, что его трансформация в финале фильма полностью теряет свой смысл и посыл (ровно как и весь фильм, потому как ставка была сделана именно на финал). Он бросает меч не потому что решает впервые не вступать в открытый конфликт, а скорее потому что банально трусит (исходя из его прошлых поступков напрашивается именно такой вывод). Он отказывается от старых верований не потому что он пережил катарсис, а потому что он по-настоящему ни во что и не веровал в силу слабости духа. Финальные аккорды теряют свою ценность если все что им предшествовало не работает с этими аккордами заодно как разные части единого механизма. И ведь не нужно быть семи пядей во лбу чтобы понять, как готовить по данному рецепту. Владимира следовало сделать страстным (каким он, кстати, и описан в первоисточнике) и крайне амбициозным мужчиной со всеми вытекающими из этого последствиями, а уж потом браться за перетекания его личности из одного состояния в другое. Чтобы А превратилось в Б, нужно чтобы это А вообще существовало, и желательно чтобы оно состояло из того что можно пощупать и увидеть. В этом же фильма Владимир – не полноценная буква, а в лучшем случае огрызок от запятой.   Что имеем в итоге? Труп остается трупом. Зато шесть лет строили большой горшок в виде декораций и домиков. А в итоге все равно наделали в штаны, в аккурат сразу после того как наигрались в строителей. Средства поменялись, время клоунады увеличилось, зазывающая реклама длилась чуть ли не целое десятилетие, а результат все тот же. Стыд и срам.  3 Рюрика из 10.	Как современное русское кино не назови, все равно не поплывет!	587
