year,co2_tons,mean_temp
1895,479.948,10.18888889
1896,480.882,11.10555556
1897,500.287,10.86666667
1898,545.321,10.79444444
1899,625.534,10.56111111
1900,662.738,11.53888889
1901,721.528,11.03888889
1902,764.496,10.88333333
1903,894.407,10.34444444
1904,882.058,10.64444444
1905,986.482,10.55555556
1906,1035.471,10.96111111
1907,1203.861,10.82222222
1908,1052.813,11.15555556
1909,1165.706,10.79444444
1910,1271.582,11.34444444
1911,1258.667,11.12777778
1912,1343.565,10.12777778
1913,1442.542,10.85555556
1914,1317.98,11.02222222
1915,1367.697,10.80555556
1916,1518.981,10.47222222
1917,1670.971,10.03333333
1918,1747.718,11.03888889
1919,1479.159,10.86111111
1920,1738.246,10.59444444
1921,1423.669,12.11111111
1922,1435.758,11.12777778
1923,1896.736,10.91111111
1924,1698.32,10.32777778
1925,1758.098,11.4
1926,1905.959,11.08333333
1927,1862.746,11.19444444
1928,1830.87,11.06666667
1929,1963.414,10.47222222
1930,1744.828,11.1
1931,1484.893,11.96666667
1932,1257.773,10.96111111
1933,1348.842,11.66111111
1934,1436.196,12.27777778
1935,1492.28,11.05555556
1936,1713.35,11.19444444
1937,1792.546,10.86111111
1938,1515.693,11.76666667
1939,1670.854,11.81111111
1940,1874.914,11.05
1941,2043.496,11.47777778
1942,2198.166,11.02222222
1943,2271.985,11.15
1944,2444.854,11.01666667
1945,2359.495,10.97222222
1946,2257.404,11.63888889
1947,2485.752,11.06666667
1948,2582.445,10.89444444
1949,2164.747,11.12222222
1950,2541.361,10.77222222
1951,2618.576,10.62222222
1952,2551.082,11.26111111
1953,2612.826,11.87222222
1954,2489.314,11.85
1955,2728.348,10.93888889
1956,2859.82,11.3
1957,2835.606,11.13333333
1958,2746.937,11.07222222
1959,2831.737,11.16666667
1960,2897.138,10.8
1961,2886.696,11.03888889
1962,2993.718,11.05555556
1963,3126.294,11.25555556
1964,3264.111,10.92777778
1965,3399.342,10.93888889
1966,3571.209,10.82777778
1967,3705.254,10.97777778
1968,3840.702,10.73333333
1969,4034.926,10.83333333
1970,4339.471,10.89444444
1971,4365.247,10.92222222
1972,4572.791,10.76111111
1973,4784.823,11.27222222
1974,4620.82,11.25555556
1975,4478.038,10.83333333
1976,4747.563,10.81666667
1977,4889.398,11.41666667
1978,4941.142,10.57777778
1979,5008.359,10.48888889
1980,4808.296,11.32777778
1981,4686.172,11.73333333
1982,4447.08,10.74444444
1983,4429.187,11.04444444
1984,4661.921,11.09444444
1985,4652.383,10.72222222
1986,4663.165,11.84444444
1987,4825.445,11.85
1988,5050.268,11.46111111
1989,5131.927,11.02222222
1990,5113.455,11.95
1991,5057.931,11.75555556
1992,5167.481,11.44444444
1993,5267.343,10.7
1994,5358.824,11.59444444
1995,5421.502,11.47222222
1996,5610.582,11.04444444
1997,5686.465,11.22222222
1998,5731.05,12.35
1999,5804.669,12.15555556
2000,6010.508,11.81666667
2001,5904.882,12.05
2002,5946.771,11.78333333
2003,6011.837,11.81111111
2004,6114.007,11.72222222
2005,6134.521,12.02222222
2006,6051.668,12.36111111
2007,6131.004,12.02777778
2008,5914.078,11.27222222
2009,5478.21,11.32777778
2010,5675.786,11.65555556
2011,5540.173,11.76666667
2012,5338.698,12.93333333
2013,5474.257,11.35
2014,5522.807,11.41111111
2015,5371.771,12.44444444
2016,5248.024,12.73333333
2017,5207.751,12.52777778
2018,5375.491,11.95555556
2019,5255.816,11.48888889
2020,4712.771,12.42777778
